name,pubCode,description,startDate,endDate
"altGeodeticDatum","WGS84","World Geodetic System 84",2012-01-01T00:00:00Z,
"aquaticSiteType","lake","lake",2012-01-01T00:00:00Z,
"aquaticSiteType","stream","stream",2012-01-01T00:00:00Z,
"aquaticSiteType","river","river",2012-01-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"sdg.analyte","Chloride","Chloride",2012-01-01T00:00:00Z,
"sdg.analyte","Bromide","Bromide",2012-01-01T00:00:00Z,
"sdg.analyte","SF6","Sulfur Hexafluoride (SF6)",2012-01-01T00:00:00Z,
"sdg.analyte","Propane","Propane",2012-01-01T00:00:00Z,
"sdg.analyte","Argon","Argon",2012-01-01T00:00:00Z,
"sdg.analyte","Methane","Methane",2012-01-01T00:00:00Z,
"sdg.analyte","Carbon Dioxide","Carbon Dioxide",2012-01-01T00:00:00Z,
"sdg.analyte","Nitrous Oxide","Nitrous Oxide",2012-01-01T00:00:00Z,
"sdg.sampleCondition","OK","OK",2012-01-01T00:00:00Z,
"sdg.sampleCondition","Sample Damaged or Lost","Sample Received Damaged",2012-01-01T00:00:00Z,
"sdg.sampleCondition","Sample Damaged or Lost","Sample Received Damaged",2012-01-01T00:00:00Z,
"sdg.sampleCondition","Internal Sample No Longer Submerged","Internal Sample No Longer Submerged",2012-01-01T00:00:00Z,
"sdg.sampleCondition","Low Pressure Internal Vial","Low Pressure Internal Vial",2012-01-01T00:00:00Z,
"sdg.sampleCondition","Liquid Intrusion","Liquid Intrusion",2012-01-01T00:00:00Z,
"sdg.sampleCondition","EXTERNAL VIAL BROKEN|SAMPLE STILL SUBMERGED","EXTERNAL VIAL BROKEN|SAMPLE STILL SUBMERGED",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"sdg.sampleCondition","EXTERNAL VIAL BROKEN|SAMPLE NO LONGER SUBMERGED","EXTERNAL VIAL BROKEN|SAMPLE NO LONGER SUBMERGED",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"sdg.sampleCondition","SAMPLE MISSING","SAMPLE MISSING",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"sdg.sampleCondition","INTERNAL GAS VIAL BROKEN","INTERNAL GAS VIAL BROKEN",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"sdg.sampleCondition","Other","Other",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"sdg.summaryUnits","ppmv","ppmv",2012-01-01T00:00:00Z,
"sdg.summaryUnits","milligramsPerLiter","milligramsPerLiter",2012-01-01T00:00:00Z,
"swc.sampleCollected","Y","Yes",2012-01-01T00:00:00Z,
"swc.sampleCollected","N","No",2012-01-01T00:00:00Z,
"swc.sampleCollected","NOT_SCHEDULED","Not scheduled",2012-01-01T00:00:00Z,
"swc.waterSamplerType","Kemmerer","Kemmerer",2012-01-01T00:00:00Z,
"swc.waterSamplerType","Van Dorn","Van Dorn",2012-01-01T00:00:00Z,
"swc.waterSamplerType","Grab","Grab",2012-01-01T00:00:00Z,
"swc.waterSamplerType","Groundwater Pump","Groundwater Pump",2012-01-01T00:00:00Z,
"swc.waterSamplerType","Groundwater Bailer Tube","Groundwater Bailer Tube",2012-01-01T00:00:00Z,
"swc.waterSamplerType","Syringe","Syringe",2018-01-01T00:00:00Z,
