uid,domainID,siteID,namedLocation,collectDate,analysisDate,internalLabID,internalSampleName,internalLabFileName,sampleID,sampleCode,concentrationCH4,runDetectionLimitCH4,precisionCH4,concentrationCO2,runDetectionLimitCO2,precisionCO2,concentrationN2O,runDetectionLimitN2O,precisionN2O,sampleCondition,laboratoryName,analyzedBy,externalRemarks,volumeGasAnalyzed,gasStandardAccuracy,gasCheckStandardPercentDev,gasCheckStandardQF,publicationDate
ce783af9-936a-4af7-a55c-ca62f6e6e7ef,D04,CUPE,CUPE,2019-01-15T12:04Z,2019-02-19,28,CUPE.SS.20190115.WAT,C:\Chem32\1\Data\NEON_GHG 2019-02-19\53.D,CUPE.SS.20190115.WAT,A00000039638,1.9271241,0.2,1.87,905.6041812,2.2,0.234,0.3867619,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T162853Z
a987af1b-85ff-4757-a32e-30d2ba739899,D04,CUPE,CUPE,2019-01-15T12:04Z,2019-02-19,27,CUPE.SS.20190115.AIR,C:\Chem32\1\Data\NEON_GHG 2019-02-19\51.D,CUPE.SS.20190115.AIR,A00000039639,1.5574381,0.2,1.87,689.412371,2.2,0.234,0.4185516,0.1,1.06,OK,Loecke Lab at University of Kansas,x62Vn5hs7AEYJHGg93BQog==,,1,2,,-1,20200224T162853Z
c731a960-c4c2-4468-9aa0-679488fdb04a,D04,CUPE,CUPE,2019-02-12T11:49Z,2019-04-04,1,CUPE.ss.20190212.air,C:\Chem32\1\Data\NEON_GHG 2019-04-04\25.D,CUPE.SS.20190212.AIR,A00000039822,1.8632543,0.2,1.87,1205.7751477,2.2,0.234,0.7990661,0.1,1.06,OK,Loecke Lab at University of Kansas,396FtWhD1mCzHDcnO+Bspw==,,15,2,,-1,20200224T162847Z
7e73dc3b-8920-4a47-8fb1-6853645a6e1e,D04,CUPE,CUPE,2019-02-12T11:49Z,2019-04-04,2,CUPE.ss.20190212.wat,C:\Chem32\1\Data\NEON_GHG 2019-04-04\27.D,CUPE.SS.20190212.WAT,A00000039821,1.6718778,0.2,1.87,773.9441428,2.2,0.234,0.5162609,0.1,1.06,OK,Loecke Lab at University of Kansas,396FtWhD1mCzHDcnO+Bspw==,,16,2,,-1,20200224T162847Z
297029b5-2bb0-4c57-8af0-d447424244ac,D04,CUPE,CUPE,2019-03-04T11:52Z,2019-04-05,31,CUPE.ss.20190304.air,C:\Chem32\1\Data\NEON_GHG 2019-04-04\57.D,CUPE.SS.20190304.AIR,A00000039871,1.3198885,0.2,1.87,548.1553256,2.2,0.234,0.4238756,0.1,1.06,OK,Loecke Lab at University of Kansas,396FtWhD1mCzHDcnO+Bspw==,,17,2,,-1,20200224T163127Z
d6faae1f-b15f-4368-a4c8-7a2d7cb99105,D04,CUPE,CUPE,2019-03-04T11:52Z,2019-04-05,32,CUPE.ss.20190304.wat,C:\Chem32\1\Data\NEON_GHG 2019-04-04\59.D,CUPE.SS.20190304.WAT,A00000039870,1.4483484,0.2,1.87,791.3309996,2.2,0.234,0.374004,0.1,1.06,OK,Loecke Lab at University of Kansas,396FtWhD1mCzHDcnO+Bspw==,,18,2,,-1,20200224T163127Z
0f37cc50-219c-4668-b9ba-694579726ca1,D04,CUPE,CUPE,2019-03-12T12:09Z,2019-04-05,30,CUPE.ss.20190312.wat,C:\Chem32\1\Data\NEON_GHG 2019-04-04\55.D,CUPE.SS.20190312.WAT,A00000039897,1.7198285,0.2,1.87,941.0754533,2.2,0.234,0.4432809,0.1,1.06,OK,Loecke Lab at University of Kansas,396FtWhD1mCzHDcnO+Bspw==,,20,2,,-1,20200224T163127Z
3918de10-03c5-4cd7-b58e-c121953c12e4,D04,CUPE,CUPE,2019-03-12T12:09Z,2019-04-05,29,CUPE.ss.20190312.air,C:\Chem32\1\Data\NEON_GHG 2019-04-04\53.D,CUPE.SS.20190312.AIR,A00000039898,1.5817561,0.2,1.87,561.2848332,2.2,0.234,0.440977,0.1,1.06,OK,Loecke Lab at University of Kansas,396FtWhD1mCzHDcnO+Bspw==,,19,2,,-1,20200224T163127Z
61871b57-0978-4523-b3b7-8364133fd781,D04,CUPE,CUPE,2019-04-09T12:11Z,2019-05-03,4,A00000040422,C:\Chem32\1\Data\NEON_GHG 2019-05-03 1\16.D,CUPE.SS.20190409.WAT,A00000040422,2.0406555,0.0555,0.884,1023.4073238,5.67,0.549,0.4158516,0.00464,0.626,,Loecke Lab at University of Kansas,iv4VLp7U+qRNfPBG26fk/g==,,1,2,,-1,20200224T163015Z
4ba9355b-7b99-437c-a773-40a7cbd8bfe9,D04,CUPE,CUPE,2019-04-09T12:11Z,2019-05-03,3,A00000040421,C:\Chem32\1\Data\NEON_GHG 2019-05-03 1\15.D,CUPE.SS.20190409.AIR,A00000040421,1.9108811,0.0555,0.884,761.6634056,5.67,0.549,0.4143473,0.00464,0.626,,Loecke Lab at University of Kansas,iv4VLp7U+qRNfPBG26fk/g==,,1,2,,-1,20200224T163015Z
