uid,domainID,siteID,namedLocation,collectDate,referenceAirSampleID,referenceAirSampleCode,airVolumeSample,remarks,lowAirVolumeQF,sdgAirDataQF,publicationDate
3b1bf0b6-0d90-44cb-b2e1-2f7f70abff84,D04,CUPE,CUPE,2019-01-15T12:04Z,CUPE.SS.20190115.AIR,A00000039639,17,,0,,20200224T162853Z
551bca27-f79c-41f4-8fac-ea4bbcb14735,D04,CUPE,CUPE,2019-02-12T11:49Z,CUPE.SS.20190212.AIR,A00000039822,18,,0,,20200224T162847Z
1bcafd77-aedb-4669-8a5e-cae010dba491,D04,CUPE,CUPE,2019-03-04T11:52Z,CUPE.SS.20190304.AIR,A00000039871,17,,0,,20200224T163127Z
485896c1-61f6-4002-aad8-54fae5d52486,D04,CUPE,CUPE,2019-03-12T12:09Z,CUPE.SS.20190312.AIR,A00000039898,17,,0,,20200224T163127Z
69999284-de02-45c2-a80e-d3f346b78029,D04,CUPE,CUPE,2019-04-09T12:11Z,CUPE.SS.20190409.AIR,A00000040421,16,,0,,20200224T163015Z
9d274750-d4c5-47c7-a239-09a5b14a3697,D04,CUPE,CUPE,2019-04-29T11:55Z,CUPE.SS.20190429.AIR,A00000040045,18,,0,,20200224T163015Z
840b9175-bc66-4557-b668-33834fc3b910,D04,CUPE,CUPE,2019-05-07T11:41Z,CUPE.SS.20190507.AIR,A00000040094,16,,0,,20200224T163214Z
88ee40db-ddc4-4dfb-8680-c5b20c82878a,D04,CUPE,CUPE,2019-05-23T11:17Z,CUPE.SS.20190523.AIR,A00000113604,17,,0,,20200224T163214Z
6f3216d8-cd5f-4c7f-a0fd-994caf14c2b0,D04,CUPE,CUPE,2019-06-04T12:15Z,CUPE.SS.20190604.AIR,A00000113509,16,"",0,,20200224T163552Z
54f220d1-1776-4ef5-bdbd-7bcb97a883a8,D04,CUPE,CUPE,2019-06-24T12:46Z,CUPE.SS.20190624.AIR,A00000113321,17,Replicate WAT.3 has water intrusion,0,,20200224T163552Z
93197e0f-65cd-4109-b9df-8b68a4e916a8,D04,CUPE,CUPE,2019-07-09T11:46Z,CUPE.SS.20190709.AIR,A00000109632,17,,0,,20200224T163103Z
19d61a6d-9cd8-40da-a97e-7f8d1beb6a02,D04,CUPE,CUPE,2019-07-18T12:11Z,CUPE.SS.20190718.AIR,A00000109702,18,,0,,20200224T163103Z
35a642b6-7121-4c1f-9b1d-4acc92ee71d0,D04,CUPE,CUPE,2019-08-06T10:52Z,CUPE.SS.20190806.AIR,A00000113107,16,,0,,20200224T163048Z
e28f23cf-a262-4653-b8af-d0c7b6a08f96,D04,CUPE,CUPE,2019-08-12T11:53Z,CUPE.SS.20190812.AIR,A00000113197,17,,0,,20200224T163048Z
37f5d631-f32d-4e45-b964-cda5893ab5fe,D04,CUPE,CUPE,2019-08-27T13:49Z,CUPE.SS.20190827.AIR,A00000113242,17,,0,,20200224T163048Z
b02f0e6e-7b69-4c5c-ab6d-f15025820b88,D04,CUPE,CUPE,2019-09-03T11:44Z,CUPE.SS.20190903.AIR,A00000112915,18,,0,,20200224T163344Z
c1c49264-073d-4ce1-8753-eaf05abe1e68,D04,CUPE,CUPE,2019-09-12T12:00Z,CUPE.SS.20190912.AIR,A00000112735,16,,0,,20200224T163344Z
7abe4893-3299-4689-a23b-1ee119aad1a9,D04,CUPE,CUPE,2019-09-23T13:00Z,CUPE.SS.20190923.AIR,A00000112678,16,,0,,20200224T163344Z
dab45952-111c-43de-b458-967122f0c3ab,D04,CUPE,CUPE,2019-10-01T11:52Z,CUPE.SS.20191001.AIR,A00000109708,16,,0,,20200309T150029Z
0db0dac0-1ecc-44d3-9fba-cfb199eaafa9,D04,CUPE,CUPE,2019-10-07T11:33Z,CUPE.SS.20191007.AIR,A00000112450,18,,0,,20200309T150029Z
3782effb-0c85-4059-9897-6c0c816941e4,D04,CUPE,CUPE,2019-10-16T12:05Z,CUPE.SS.20191016.AIR,A00000112376,18,,0,,20200309T150029Z
a1e399b2-3142-480d-90c7-04c365a56445,D04,CUPE,CUPE,2019-10-28T11:44Z,CUPE.SS.20191028.AIR,A00000112360,17,,0,,20200309T150029Z
cb173baf-a8d9-4c90-95f7-8d0b09c513a5,D04,CUPE,CUPE,2019-11-05T11:41Z,CUPE.SS.20191105.AIR,A00000112279,17,,0,,20200406T144841Z
56018c58-7bb9-4a1f-9f60-7594433e1308,D04,CUPE,CUPE,2019-11-11T12:00Z,CUPE.SS.20191111.AIR,A00000109862,17,,0,,20200406T144841Z
44e226e1-c991-48b7-9301-e855ef52803f,D04,CUPE,CUPE,2019-12-03T11:01Z,CUPE.SS.20191203.AIR,A00000110060,17,,0,,20200504T172311Z
6212d9b5-cb7d-463b-96f2-2e32e94bbb9a,D04,CUPE,CUPE,2019-12-10T11:15Z,CUPE.SS.20191210.AIR,A00000110064,16,,0,,20200504T172311Z
44ecc9f9-5ff1-43b1-8e1e-bff55a8cd141,D13,COMO,COMO,2019-01-14T19:00Z,COMO.SS.20190114.AIR,A00000051431,16,,0,,20200224T171826Z
644047ac-b187-4f2c-afbd-ec6095c6e012,D13,COMO,COMO,2019-02-19T16:56Z,COMO.SS.20190219.AIR,A00000051480,17,,0,,20200224T171611Z
0ed6745d-f40e-45fd-8a58-5971c25fddf6,D13,COMO,COMO,2019-03-19T17:56Z,COMO.SS.20190319.AIR,A00000051692,17,,0,,20200224T171839Z
9296b30a-af9c-41ea-afba-2447f7d75cec,D13,COMO,COMO,2019-04-23T17:15Z,COMO.SS.20190423.AIR,A00000089655,17,,0,,20200224T170619Z
967fa4c1-a68a-43b7-ac7d-4a4b1103f705,D13,COMO,COMO,2019-05-13T18:21Z,COMO.SS.20190513.AIR,A00000089701,16,,0,,20200224T170557Z
cdbba93e-a78a-421c-b356-6f49a9dedfa3,D13,COMO,COMO,2019-05-21T16:36Z,COMO.SS.20190521.AIR,A00000089965,18,,0,,20200224T170557Z
0967829a-844c-4187-8354-7426101d9139,D13,COMO,COMO,2019-05-28T20:44Z,COMO.SS.20190528.AIR,A00000090008,18,,0,,20200224T170557Z
5db82db7-5aeb-4fc2-ba39-b25e5a0142fe,D13,COMO,COMO,2019-06-03T16:43Z,COMO.SS.20190603.AIR,A00000089882,18,,0,,20200224T171505Z
72aa2af2-0adf-4e9d-923d-4bf5e31a0f39,D13,COMO,COMO,2019-06-10T16:53Z,COMO.SS.20190610.AIR,A00000089696,7,,1,,20200224T171505Z
0679772f-bc40-4e96-8159-23433aa72d76,D13,COMO,COMO,2019-06-12T16:14Z,COMO.SS.20190612.AIR,A00000089886,15,,0,,20200224T171505Z
8c5994d3-9d3c-49d4-ad39-183eb2de4634,D13,COMO,COMO,2019-06-18T16:31Z,COMO.SS.20190618.AIR,A00000089890,18,,0,,20200224T171505Z
ad0615e4-a781-476b-b652-24382c2e7d52,D13,COMO,COMO,2019-06-20T15:45Z,COMO.SS.20190620.AIR,A00000090758,16,,0,,20200224T171505Z
a18f68ab-a228-4d39-97d3-1c522e500bd6,D13,COMO,COMO,2019-06-25T15:28Z,COMO.SS.20190625.AIR,A00000090779,16,,0,,20200224T171505Z
1e23781a-adc7-4dce-8347-7a87008b6ada,D13,COMO,COMO,2019-06-27T16:23Z,COMO.SS.20190627.AIR,A00000090754,17,,0,,20200224T171505Z
e1cc8e98-80b9-4caf-8ef5-6c0468cdb5b6,D13,COMO,COMO,2019-07-08T16:30Z,COMO.SS.20190708.AIR,A00000091002,18,,0,,20200224T170705Z
74051e8a-c79f-4025-9eb9-b3820a06877a,D13,COMO,COMO,2019-07-11T14:59Z,COMO.SS.20190711.AIR,A00000090746,18,,0,,20200224T170705Z
2f833b57-94d7-4298-b93e-238496fb19ff,D13,COMO,COMO,2019-07-16T16:58Z,COMO.SS.20190716.AIR,A00000090748,18,,0,,20200224T170705Z
ba99ea3b-267c-4f5e-b44d-3465f738b0f6,D13,COMO,COMO,2019-07-16T16:58Z,COMO.SS.20190716.AIR.2,A00000091110,18,,0,,20200224T170705Z
09117740-5c29-41d1-9f3d-bb04bd1ef9c3,D13,COMO,COMO,2019-07-16T16:58Z,COMO.SS.20190716.AIR.3,A00000091112,18,,0,,20200224T170705Z
943bd5b0-0a44-4613-be7c-f5f4baac6eae,D13,COMO,COMO,2019-07-22T15:35Z,COMO.SS.20190722.AIR,A00000091010,17,,0,,20200224T170705Z
df1ad920-eb48-4b4f-95c8-415da226d767,D13,COMO,COMO,2019-08-05T16:14Z,COMO.SS.20190805.AIR,A00000091506,17,,0,,20200224T170612Z
59d89c5f-182c-4c92-be6a-c0735c6ae87e,D13,COMO,COMO,2019-08-20T16:38Z,COMO.SS.20190820.AIR,A00000091600,17,,0,,20200224T170612Z
