uid,domainID,siteID,namedLocation,collectDate,processedDate,waterSampleID,waterSampleCode,equilibratedAirSampleID,equilibratedAirSampleCode,referenceAirSampleID,referenceAirSampleCode,storageWaterTemp,ptBarometricPressure,waterVolumeSyringe,gasVolumeSyringe,gasVolumeSample,lowGasVolumeQF,sdgProcessDataQF,publicationDate
4a50c185-bd9b-4ab2-844a-edeb41575cb1,D04,CUPE,CUPE.AOS.S2,2019-01-15T11:38Z,2019-01-15T12:04Z,CUPE.SS.20190115,,CUPE.SS.20190115.WAT,A00000039638,CUPE.SS.20190115.AIR,A00000039639,20.7,100.1,40,20,17,0,,20200224T162853Z
85fcc2b8-7454-46a1-b4e5-088ccb51258a,D04,CUPE,CUPE.AOS.S2,2019-02-12T11:25Z,2019-02-12T11:49Z,CUPE.SS.20190212,,CUPE.SS.20190212.WAT,A00000039821,CUPE.SS.20190212.AIR,A00000039822,21,100.2,40,20,18,0,,20200224T162847Z
9811e595-93c8-4d1e-b274-073ee93315d9,D04,CUPE,CUPE.AOS.S2,2019-03-04T11:25Z,2019-03-04T11:52Z,CUPE.SS.20190304,,CUPE.SS.20190304.WAT,A00000039870,CUPE.SS.20190304.AIR,A00000039871,21.7,100,40,20,17,0,,20200224T163127Z
91c4b1f0-8578-4174-9120-497e770080bd,D04,CUPE,CUPE.AOS.S2,2019-03-12T11:31Z,2019-03-12T12:09Z,CUPE.SS.20190312,,CUPE.SS.20190312.WAT,A00000039897,CUPE.SS.20190312.AIR,A00000039898,20.9,100,40,20,17,0,,20200224T163127Z
1a7733fe-d9aa-4451-90d2-345b22043479,D04,CUPE,CUPE.AOS.S2,2019-04-09T11:48Z,2019-04-09T12:11Z,CUPE.SS.20190409,,CUPE.SS.20190409.WAT,A00000040422,CUPE.SS.20190409.AIR,A00000040421,21.4,99.9,40,20,16,0,,20200224T163015Z
ef2e4afc-fee7-4125-aa4b-d778a9c63474,D04,CUPE,CUPE.AOS.S2,2019-04-29T11:21Z,2019-04-29T11:55Z,CUPE.SS.20190429,,CUPE.SS.20190429.WAT,A00000040044,CUPE.SS.20190429.AIR,A00000040045,23.2,99.9,40,20,18,0,,20200224T163015Z
20ccf7cb-9900-43c7-a109-e05671d24d69,D04,CUPE,CUPE.AOS.S2,2019-05-07T11:20Z,2019-05-07T11:41Z,CUPE.SS.20190507,,CUPE.SS.20190507.WAT,A00000040095,CUPE.SS.20190507.AIR,A00000040094,23.3,99.8,40,20,16,0,,20200224T163214Z
29378bac-8327-4953-a8ad-46b9a574ba58,D04,CUPE,CUPE.AOS.S2,2019-05-23T11:08Z,2019-05-23T11:17Z,CUPE.SS.20190523,,CUPE.SS.20190523.WAT,A00000113603,CUPE.SS.20190523.AIR,A00000113604,,99.8,40,20,17,0,,20200224T163214Z
874a29aa-bad9-4ca0-9bc3-b6706254c367,D04,CUPE,CUPE.AOS.S2,2019-06-04T11:43Z,2019-06-04T12:15Z,CUPE.SS.20190604,,CUPE.SS.20190604.WAT,A00000113508,CUPE.SS.20190604.AIR,A00000113509,,100,40,20,16,0,,20200224T163552Z
4c86722a-af27-415d-88f6-99f2ea4bcd27,D04,CUPE,CUPE.AOS.S2,2019-06-24T11:27Z,2019-06-24T12:46Z,CUPE.SS.20190624,,CUPE.SS.20190624.WAT,A00000113322,CUPE.SS.20190624.AIR,A00000113321,,99.9,40,20,17,0,,20200224T163552Z
