uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,elevation,elevationUncertainty,geodeticDatum,altLocation,altLatitude,altLongitude,altCoordinateUncertainty,altGeodeticDatum,collectDate,aquaticSiteType,samplingImpractical,sdgSampleCollected,parentSampleID,eventID,measurementDepth,samplerType,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp,maxDepth,lakeSampleDepth1,lakeSampleDepth2,aCollectedBy,bCollectedBy,remarks,publicationDate
badfcc2c-272b-4611-bb94-246fa5585c4d,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-01-15T11:38Z,stream,,,CUPE.SS.20190115,CUPE.20190115,,Grab,7.71,86.8,306.8,20.8,,,,tvelazquez-rojas@battelleecology.org,iortiz@battelleecology.org,,20200224T162853Z
4c99ed2e-0457-45b8-a133-56df4474a353,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-02-12T11:25Z,stream,,,CUPE.SS.20190212,CUPE.20190212,,Grab,8.43,95.7,307.2,20.9,,,,tvelazquez-rojas@battelleecology.org,amegill@battelleecology.org,,20200224T162847Z
9152c95d-2bb2-40a7-9ae6-364cd5f5d4a6,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-03-04T11:25Z,stream,,,CUPE.SS.20190304,CUPE.20190304,,Grab,7.56,87.4,307.2,21.6,,,,tvelazquez-rojas@battelleecology.org,Mpagan@battelleecology.org,,20200224T163127Z
8e688b07-f7d1-4668-b9b2-80a691491357,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-03-12T11:31Z,stream,,,CUPE.SS.20190312,CUPE.20190312,,Grab,7.89,89.3,304.9,20.7,,,,0000-0003-3491-5113,0000-0002-4067-8225,,20200224T163127Z
a6ddd92a-9568-4703-b9ee-8934eca1654b,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-04-09T11:48Z,stream,,,CUPE.SS.20190409,CUPE.20190409,,Grab,7.55,86.1,301.5,21.3,,,,0000-0002-4067-8225,0000-0003-1220-2331,,20200224T163015Z
2fe933ae-1e45-47cc-bf9c-cb7b95b22d15,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-04-29T11:21Z,stream,,,CUPE.SS.20190429,CUPE.20190429,,Grab,7.52,88.5,280.2,22.8,,,,0000-0003-3491-5113,0000-0003-2386-8235,,20200224T163015Z
387e8da1-7d1e-41c3-862d-b82a0024f0f3,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-05-07T11:20Z,stream,,,CUPE.SS.20190507,CUPE.20190507,,Grab,6.72,79.6,297.8,23,,,,0000-0002-4067-8225,0000-0003-1220-2331,,20200224T163214Z
23a16767-c74f-4f5e-b4eb-2e9406eee6b2,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-05-23T11:08Z,stream,,,CUPE.SS.20190523,CUPE.20190523,,Grab,6.8,81.3,307.4,23.7,,,,0000-0003-1220-2331,0000-0002-4299-7043,,20200224T163214Z
93a9a54f-5015-4f6b-b961-50650a047e46,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-06-04T11:43Z,stream,,,CUPE.SS.20190604,CUPE.20190604,,Grab,6.9,82.2,302,23.7,,,,0000-0003-1220-2331,0000-0002-4299-7043,,20200224T163552Z
84c72669-8462-45e2-9359-046359a3b9f9,D04,CUPE,CUPE.AOS.S2,18.110163,-66.986319,1,10,149.3,1,WGS84,,,,,,2019-06-24T11:27Z,stream,,,CUPE.SS.20190624,CUPE.20190624,,Grab,6.55,80.8,306.7,24.4,,,,0000-0002-9129-5419,0000-0003-3491-5113,,20200224T163552Z
