uid,domainID,siteID,namedLocation,collectDate,analysisDate,internalLabID,internalSampleName,internalLabFileName,sampleID,sampleCode,concentrationCH4,runDetectionLimitCH4,precisionCH4,concentrationCO2,runDetectionLimitCO2,precisionCO2,concentrationN2O,runDetectionLimitN2O,precisionN2O,sampleCondition,laboratoryName,analyzedBy,externalRemarks,volumeGasAnalyzed,gasStandardAccuracy,gasCheckStandardPercentDev,gasCheckStandardQF,publicationDate
639cf54c-e7eb-41a3-ade6-769d997848b1,D01,HOPB,HOPB,2016-09-06T11:25Z,2016-10-06,14,HOPBzssz20160906zAIR,C:\\Chem32\\1\\Data\\5RGHG\\5RGHG 2016-10-06 16-36-22\\HOPBzssz20160906zAIR.D,HOPB.SS.20160906.AIR,,2.93833,0.129,1.1,523.30637,36.6,2.4,1.43111,0.037,3.3,OK,Loecke Lab at University of Kansas,6ghQmyGM7glXjfGXDO98ng==,None,1,2,,,20200224T172211Z
6ae8211e-9012-4df0-af56-7fd174966ab1,D01,HOPB,HOPB,2016-09-06T15:25Z,2016-10-06,15,HOPBzssz20160906zWAT,C:\\Chem32\\1\\Data\\5RGHG\\5RGHG 2016-10-06 16-36-22\\HOPBzssz20160906zWAT.D,HOPB.SS.20160906.WAT,,6.11369,0.129,1.1,917.16693,36.6,2.4,1.26443,0.037,3.3,OK,Loecke Lab at University of Kansas,6ghQmyGM7glXjfGXDO98ng==,None,1,2,,-1,20200224T172211Z
64fb31f2-a6f5-41ae-9326-48566e07764f,D01,HOPB,HOPB,2016-09-22T09:45Z,2016-10-06,12,HOPBzssz20160922zAIR,C:\\Chem32\\1\\Data\\5RGHG\\5RGHG 2016-10-06 16-36-22\\HOPBzssz20160922zAIR.D,HOPB.SS.20160922.AIR,,2.573,0.129,1.1,667.55043,36.6,2.4,0.9402,0.037,3.3,OK,Loecke Lab at University of Kansas,6ghQmyGM7glXjfGXDO98ng==,None,1,2,,,20200224T172211Z
e5a2950e-2c14-4de5-aa54-effc6290b76d,D01,HOPB,HOPB,2016-09-22T13:45Z,2016-10-06,13,HOPBzssz20160922zWAT,C:\\Chem32\\1\\Data\\5RGHG\\5RGHG 2016-10-06 16-36-22\\HOPBzssz20160922zWAT.D,HOPB.SS.20160922.WAT,,7.58592,0.129,1.1,942.45894,36.6,2.4,0.95483,0.037,3.3,OK,Loecke Lab at University of Kansas,6ghQmyGM7glXjfGXDO98ng==,None,1,2,,-1,20200224T172211Z
a88b10d6-8223-4642-b13d-3d1e6d8c8bb4,D01,HOPB,HOPB,2016-10-18T09:45Z,2017-01-12,25,HOPBzssz20161018zAIR,C:\\Chem32\\1\\Data\\NEONGHG\\NEONGHG 2017-01-11 15-10-03\\HOPBzssz20161018zAIR.D,HOPB.SS.20161018.AIR,,2.58,0.129,1.1,811.5,36.6,2.4,0.756,0.037,3.3,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVjNU51voiN6Q==,none,1,2,,,20200224T164538Z
13d02fa1-0994-4e5b-aed5-4e324fc13a86,D01,HOPB,HOPB,2016-10-18T13:45Z,2017-01-12,26,HOPBzssz20161018zWAT,C:\\Chem32\\1\\Data\\NEONGHG\\NEONGHG 2017-01-11 15-10-03\\HOPBzssz20161018zWAT.D,HOPB.SS.20161018.WAT,,19.61,0.129,1.1,1335.1,36.6,2.4,0.764,0.037,3.3,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVjNU51voiN6Q==,none,1,2,,-1,20200224T164538Z
cfd93ec2-d5f1-44a9-9d9a-6cd9ad90f8eb,D01,HOPB,HOPB,2016-11-10T09:50Z,2017-01-11,19,HOBPzssz20161110zAIR,C:\\Chem32\\1\\Data\\NEONGHG\\NEONGHG 2017-01-11 15-10-03\\HOBPzssz20161110zAIR.D,HOPB.SS.20161110.AIR,,2.77,0.129,1.1,679.6,36.6,2.4,2.145,0.037,3.3,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVjNU51voiN6Q==,none,1,2,,,20200224T164511Z
71d371be-7b8d-42cb-939f-10e6a2959d70,D01,HOPB,HOPB,2016-11-10T14:50Z,2017-01-11,20,HOBPzssz20161110zWAT,C:\\Chem32\\1\\Data\\NEONGHG\\NEONGHG 2017-01-11 15-10-03\\HOBPzssz20161110zWAT.D,HOPB.SS.20161110.WAT,,11.04,0.129,1.1,1165.1,36.6,2.4,0.915,0.037,3.3,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVjNU51voiN6Q==,none,1,2,,-1,20200224T164511Z
859ada31-5562-48af-a29c-7d140fff71d8,D01,HOPB,HOPB,2016-11-17T09:35Z,2017-01-12,21,HOPBzssz20161117zAIR,C:\\Chem32\\1\\Data\\NEONGHG\\NEONGHG 2017-01-11 15-10-03\\HOPBzssz20161117zAIR.D,HOPB.SS.20161117.AIR,,2.61,0.129,1.1,745.6,36.6,2.4,3.051,0.037,3.3,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVjNU51voiN6Q==,none,1,2,,,20200224T164511Z
64261348-a0d5-4236-9883-d811c5ba4d4d,D01,HOPB,HOPB,2016-11-17T14:35Z,2017-01-12,22,HOPBzssz20161117zWAT,C:\\Chem32\\1\\Data\\NEONGHG\\NEONGHG 2017-01-11 15-10-03\\HOPBzssz20161117zWAT.D,HOPB.SS.20161117.WAT,,7.19,0.129,1.1,1174.7,36.6,2.4,3.082,0.037,3.3,OK,Loecke Lab at University of Kansas,CsTk6MsnqZVjNU51voiN6Q==,none,1,2,,-1,20200224T164511Z
