uid,domainID,siteID,namedLocation,collectDate,referenceAirSampleID,referenceAirSampleCode,airVolumeSample,remarks,lowAirVolumeQF,sdgAirDataQF,publicationDate
60e5b6ae-c023-4946-8399-26721eefcdb5,D01,HOPB,HOPB,2016-09-06T15:25Z,HOPB.SS.20160906.AIR,,16,,0,,20200224T172211Z
f516a51b-14b6-4c82-9d09-648c62fbfe7a,D01,HOPB,HOPB,2016-09-22T13:45Z,HOPB.SS.20160922.AIR,,17,,0,,20200224T172211Z
ad65b035-787b-4fff-830a-6b917a9b6443,D01,HOPB,HOPB,2016-10-18T13:45Z,HOPB.SS.20161018.AIR,,20,,0,,20200224T164538Z
d59e49bc-fef7-409a-bb3a-72d9171690f8,D01,HOPB,HOPB,2016-11-10T14:50Z,HOPB.SS.20161110.AIR,,16,,0,,20200224T164511Z
d0402989-b66a-4e3a-8b2d-b85ad614ea5c,D01,HOPB,HOPB,2016-11-17T14:35Z,HOPB.SS.20161117.AIR,,18,,0,,20200224T164511Z
79900ce1-a7ee-491b-b6c5-e20301ff1f7c,D01,HOPB,HOPB,2016-12-07T14:40Z,HOPB.SS.20161207.AIR,,19,,0,,20200224T164125Z
e93a95d9-af7d-42c9-add1-0ded5f1b14e7,D01,HOPB,HOPB,2016-12-14T14:50Z,HOPB.SS.20161214.AIR,,20,,0,,20200224T164125Z
609a4fa1-56ad-427b-a2f1-2b456ebe969c,D01,HOPB,HOPB,2017-01-17T15:05Z,HOPB.SS.20170117.AIR,,15,,0,,20200224T170627Z
df07b238-56bd-495f-9ee4-69cf06a3b56e,D01,HOPB,HOPB,2017-01-25T14:48Z,HOPB.SS.20170125.AIR,,19,,0,,20200224T170627Z
e5cba203-1507-42fd-bb62-4710e2581f4f,D01,HOPB,HOPB,2017-02-14T15:25Z,HOPB.SS.20170214.AIR,,19,,0,,20200224T170528Z
bd503077-d480-41bd-bd6c-520896ae0e4c,D01,HOPB,HOPB,2017-02-21T14:35Z,HOPB.SS.20170221.AIR,,17,,0,,20200224T170528Z
2cb86fc5-7567-4530-99b1-73381ac3f855,D01,HOPB,HOPB,2017-03-06T15:35Z,HOPB.SS.20170306.AIR,,20,,0,,20200224T172039Z
