uid,domainID,siteID,namedLocation,collectDate,processedDate,waterSampleID,waterSampleCode,equilibratedAirSampleID,equilibratedAirSampleCode,referenceAirSampleID,referenceAirSampleCode,storageWaterTemp,ptBarometricPressure,waterVolumeSyringe,gasVolumeSyringe,gasVolumeSample,lowGasVolumeQF,sdgProcessDataQF,publicationDate
87509ca3-a8b0-4969-afd9-3a0af57f6f30,D01,HOPB,HOPB.AOS.S2,2016-09-06T15:58Z,2016-09-06T11:40Z,HOPB.SS.20160906,,HOPB.SS.20160906.WAT,,HOPB.SS.20160906.AIR,,24.4,,40,20,15,0,,20200224T172211Z
e976825f-fcab-49bb-8822-52dd8e73d1ac,D01,HOPB,HOPB.AOS.S2,2016-09-22T13:55Z,2016-09-22T09:50Z,HOPB.SS.20160922,,HOPB.SS.20160922.WAT,,HOPB.SS.20160922.AIR,,25,99.9,40,20,17,0,,20200224T172211Z
582f138a-c6d2-461e-870e-702c18d93102,D01,HOPB,HOPB.AOS.S2,2016-10-18T13:50Z,2016-10-18T09:50Z,HOPB.SS.20161018,,HOPB.SS.20161018.WAT,,HOPB.SS.20161018.AIR,,25,99,40,20,19,0,,20200224T164538Z
7c0ceef8-c65b-4048-a9af-e77d0370ef9c,D01,HOPB,HOPB.AOS.S2,2016-11-10T14:50Z,2016-11-10T10:10Z,HOPB.SS.20161110,,HOPB.SS.20161110.WAT,,HOPB.SS.20161110.AIR,,,98.8,40,20,17,0,,20200224T164511Z
e74166ef-5e29-43a9-8770-fd29227c6f38,D01,HOPB,HOPB.AOS.S2,2016-11-17T14:40Z,2016-11-17T09:50Z,HOPB.SS.20161117,,HOPB.SS.20161117.WAT,,HOPB.SS.20161117.AIR,,,98.9,40,20,20,0,,20200224T164511Z
430cf7ba-0d85-421a-b18b-2d2a1d09b8b0,D01,HOPB,HOPB.AOS.S2,2016-12-07T14:50Z,2016-12-07T09:45Z,HOPB.SS.20161207,,HOPB.SS.20161207.WAT,,HOPB.SS.20161207.AIR,,,98.9,40,20,19,0,,20200224T164125Z
c43aa584-ea23-42fb-a121-1bf9531e2c06,D01,HOPB,HOPB.AOS.S2,2016-12-14T14:50Z,2016-12-14T09:55Z,HOPB.SS.20161214,,HOPB.SS.20161214.WAT,,HOPB.SS.20161214.AIR,,,98.7,40,25,20,0,,20200224T164125Z
df6b993a-3c91-4292-8573-35bb587e914d,D01,HOPB,HOPB.AOS.S2,2017-01-17T15:30Z,2017-01-17T10:09Z,HOPB.SS.20170117,,HOPB.SS.20170117.WAT,,HOPB.SS.20170117.AIR,,,99.5,40,20,15,0,,20200224T170627Z
60351b29-1085-409b-acaa-f5f6d3598945,D01,HOPB,HOPB.AOS.S2,2017-01-25T15:02Z,2017-01-25T09:48Z,HOPB.SS.20170125,,HOPB.SS.20170125.WAT,,HOPB.SS.20170125.AIR,,,,40,20,19,0,,20200224T170627Z
8b5bf94c-e296-48af-8ce0-00b1d074875b,D01,HOPB,HOPB.AOS.S2,2017-02-14T15:40Z,2017-02-14T10:30Z,HOPB.SS.20170214,,HOPB.SS.20170214.WAT,,HOPB.SS.20170214.AIR,,,98.3,40,20,18,0,,20200224T170528Z
