uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,elevation,elevationUncertainty,geodeticDatum,altLocation,altLatitude,altLongitude,altCoordinateUncertainty,altGeodeticDatum,collectDate,aquaticSiteType,samplingImpractical,sdgSampleCollected,parentSampleID,eventID,measurementDepth,samplerType,dissolvedOxygen,dissolvedOxygenSaturation,specificConductance,waterTemp,maxDepth,lakeSampleDepth1,lakeSampleDepth2,aCollectedBy,bCollectedBy,remarks,publicationDate
f9d46814-bee4-4223-84c9-6a00016aee05,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2016-09-06T15:58Z,stream,,,HOPB.SS.20160906,HOPB.20160906,,Grab,6.6,65,,16.5,,,,adavila@neoninc.org,thillman@neoninc.org,forgot to collect conductivity,20200224T172211Z
878f5194-c60f-4ded-b7b8-19ad63e6c9e9,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2016-09-22T13:55Z,stream,,,HOPB.SS.20160922,HOPB.20160922,,Grab,6.4,63,141.3,15.3,,,,adavila@neoninc.org,thillman@neoninc.org,no PCN collected because we did not have a lab to send to,20200224T172211Z
aeb5f5c4-7a43-4276-b849-4ef2705de732,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2016-10-18T13:50Z,stream,,,HOPB.SS.20161018,HOPB.20161018,,Grab,5.3,51,123.8,12.4,,,,adavila@neoninc.org,thillman@neoninc.org,,20200224T164538Z
d7cf05e5-205e-44d0-b842-33b6098068ff,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2016-11-10T14:50Z,stream,,,HOPB.SS.20161110,HOPB.20161110,,Grab,10.3,82,155.1,4.8,,,,adavila@neoninc.org,nflannery@neoninc.org,,20200224T164511Z
1f2e2025-cc6c-4e1c-a13f-22aa62b06d02,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2016-11-17T14:40Z,stream,,,HOPB.SS.20161117,HOPB.20161117,,Grab,10,82,161.1,6,,,,adavila@neoninc.org,nflannery@neoninc.org,,20200224T164511Z
15dfa403-c36b-426e-bd52-f533d09f8df4,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2016-12-07T14:50Z,stream,,,HOPB.SS.20161207,HOPB.20161207,,Grab,8.6,64,148,2.1,,,,adavila@neoninc.org,thillman@neoninc.org,,20200224T164125Z
5c2897c8-25e9-489a-907a-47bbc6a3a4a2,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2016-12-14T14:50Z,stream,,,HOPB.SS.20161214,HOPB.20161214,,Grab,11.4,80,149.3,0.3,,,,adavila@neoninc.org,thillman@neoninc.org,,20200224T164125Z
9797f76c-70cb-4136-85cf-93dfe919d24b,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-01-17T15:30Z,stream,,,HOPB.SS.20170117,HOPB.20170117,,Grab,11.8,81,74.8,0,,,,adavila@neoninc.org,thillman@neoninc.org,,20200224T170627Z
bca46dd6-f555-45b5-9025-f4d112dc64d6,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-01-25T15:02Z,stream,,,HOPB.SS.20170125,HOPB.20170125,,Grab,10.5,78,130.3,1.5,,,,thillman@neoninc.org,llukas@neoninc.org,,20200224T170627Z
ac7515f7-78ff-4984-a5f0-272c0fcc267b,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-02-14T15:40Z,stream,,,HOPB.SS.20170214,HOPB.20170214,,Grab,10.6,74,144.9,0,,,,adavila@neoninc.org,thillman@neoninc.org,,20200224T170528Z
dd9f86e7-af15-483c-ac15-3c8d130e1f7e,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-02-21T14:55Z,stream,,,HOPB.SS.20170221,HOPB.20170221,,Grab,10.6,74,158.4,0.2,,,,adavila@neoninc.org,thillman@neoninc.org,,20200224T170528Z
85289725-1fd2-475c-943e-4ad75e170d2f,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-03-06T15:35Z,stream,,,HOPB.SS.20170306,HOPB.20170306,,Grab,10.9,76,145,0.1,,,,adavila@neoninc.org,thillman@neoninc.org,"",20200224T172039Z
923c89f8-6e57-4327-bf24-f98663bae854,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-03-16T14:30Z,stream,,,HOPB.SS.20170316,HOPB.20170316,,Grab,9.7,69,133.5,0,,,,adavila@neoninc.org,thillman@neoninc.org,"",20200224T172039Z
867602cf-7fb7-483a-82b0-02aec1c022e9,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-03-20T13:00Z,stream,,,HOPB.SS.20170320,HOPB.20170320,,Grab,10.2,72,130.1,0.1,,,,adavila@neoninc.org,thillman@neoninc.org,"",20200224T172039Z
24cbcc7a-03b8-4982-8014-55c2e7bd180a,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-03-29T15:35Z,stream,,,HOPB.SS.20170329,HOPB.20170329,,Grab,9.9,74,111.3,2.3,,,,adavila@neoninc.org,jcoleman01@field-ops.org,"jcoleman01@battelleecology.org, protocol Rev D",20200224T172039Z
0b54c4af-9796-4fa7-b9eb-5429981ca7fb,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-04-11T13:30Z,stream,,,HOPB.SS.20170411,HOPB.20170411,,Grab,8.8,75,112.4,7.8,,,,adavila@neoninc.org,jcoleman01@field-ops.org,,20200224T171809Z
991fcfd1-3fb8-472a-8652-9e207c62b18b,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-04-17T13:30Z,stream,,,HOPB.SS.20170417,HOPB.20170417,,Grab,7.6,71,115.5,11.5,,,,adavila@neoninc.org,jcoleman01@field-ops.org,,20200224T171809Z
5f7a176e-0793-4f21-8ba2-559657889553,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-04-26T14:15Z,stream,,,HOPB.SS.20170426,HOPB.20170426,,Grab,10.4,92,109.6,8.9,,,,adavila@neoninc.org,jcoleman01@field-ops.org,,20200224T171809Z
ccae5e88-6788-4523-82ad-06d9c0fb28f5,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-05-09T09:46Z,stream,,,HOPB.SS.20170509,HOPB.20170509,,Grab,11.1,97,103.1,8.4,,,,Jcoleman01@battelleecology.org,adavila@battelleecology.org,,20200224T171626Z
39b2c6eb-ace3-4f40-8fa6-3793865aebb7,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-05-15T09:55Z,stream,,,HOPB.SS.20170515,HOPB.20170515,,Grab,10.4,93,86,8.8,,,,Jcoleman01@battelleecology.org,bhudson@battelleecology.org,,20200224T171626Z
65a1a51e-4321-4c23-9571-5a4d846eecb6,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-05-31T09:30Z,stream,,,HOPB.SS.20170531,HOPB.20170531,,Grab,9.5,90,98.8,11.9,,,,Jcoleman01@battelleecology.org,adavila@battelleecology.org,,20200224T171626Z
842d4244-a10f-4aea-9547-64e4feb477e9,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-06-20T12:56Z,stream,,,HOPB.SS.20170620,HOPB.20170620,,Grab,9,99,116.4,18.4,,,,chines@field-ops.org,adavila@battelleecology.org,,20200224T171415Z
12b0418c-0483-4065-97da-8df5192cfc25,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-07-10T16:09Z,stream,,,HOPB.SS.20170710,HOPB.20170710,,Grab,8,91,141.8,20.5,,,,chines@field-ops.org,Jcoleman01@battelleecology.org,,20200224T171137Z
161cc080-1574-4253-be4f-ae295a82cab4,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-07-25T12:30Z,stream,,,HOPB.SS.20170725,HOPB.20170725,,Grab,9.6,98,144.5,15.6,,,,chines@field-ops.org,Jcoleman01@battelleecology.org,,20200224T171137Z
8abff251-78f6-4683-bea2-5f5521428b54,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-08-08T12:57Z,stream,,,HOPB.SS.20170808,HOPB.20170808,,Grab,8.3,88,112,17,,,,Jcoleman01@battelleecology.org,adavila@battelleecology.org,,20200224T172159Z
48dff076-dd39-4cd6-8a34-297366148f29,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-09-06T13:00Z,stream,,,HOPB.SS.20170906,HOPB.20170906,,Grab,8.6,92,137.7,17.4,,,,chines@field-ops.org,Jcoleman01@battelleecology.org,,20200224T164542Z
239c18ac-a1a5-4c3f-ab8b-9160b7122769,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-09-12T13:08Z,stream,,,HOPB.SS.20170912,HOPB.20170912,,Grab,9.5,92,141.1,12.8,,,,Jcoleman01@battelleecology.org,Jcoleman01@battelleecology.org,,20200224T164542Z
e1027ca1-0488-4315-aaa2-8c568810aa38,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-10-17T12:39Z,stream,,,HOPB.SS.20171017,HOPB.20171017,,Grab,12.7,108,153.4,8.3,,,,Jcoleman01@battelleecology.org,adavila@battelleecology.org,,20200224T164507Z
2531eb77-801e-4f25-a3a6-0f38dba0c3ce,D01,HOPB,HOPB.AOS.S2,42.471741,-72.330664,0.3,10,213.6,0.3,WGS84,,,,,,2017-11-07T14:18Z,stream,,,HOPB.SS.20171107,HOPB.20171107,,Grab,11.2,98,105.1,9.1,,,,bhudson@battelleecology.org,adavila@battelleecology.org,,20200224T164109Z
